column,dtype,non_null,null_count,null_pct,example
id,int64,14438,0,0.0,1
url,str,14438,0,0.0,https://www.zoopla.co.uk/for-sale/details/72086291/
city,str,14438,0,0.0,London
price,int64,14438,0,0.0,600000
address,str,14438,0,0.0,"South Park Hill Road, South Croydon CR2"
property_type,str,14438,0,0.0,Flat/Apartment
bedrooms,int64,14438,0,0.0,3
bathrooms,int64,14438,0,0.0,3
living_rooms,int64,14438,0,0.0,1
area_sqft,int64,14438,0,0.0,0
description,str,14438,0,0.0,"Modern three-bedroom duplex with stylish, contemporary design.EPC B rating – energy-efficient, lower bills, and environmentally friendly.Thoughtfully arranged over two levels for optimal living flow.Private ParkingAllocated area of a south-facing gardenFamily-friendly layoutExcellent transport linksBright and stylish interiorsNearby larger park – Lloyd Park within eight minutes, with cafés and community activitiesExcellent order throughoutLevel accessHomes like this rarely come to market in South Parkhill. This modern three-bedroom duplex offers a rare combination of style, comfort and practicality, making it an exceptional opportunity for families, professionals, or anyone seeking a thoughtfully designed home in a peaceful yet well connected location.Arranged over two levels, the property is bright, airy, and intelligently laid out to support real-life living. The lower floor is dedicated entirely to the three bedrooms, providing a serene retreat for rest and relaxation, while the upper floor offers open, light-filled living spaces that are perfect for everyday life, entertaining, or simply enjoying quiet evenings at home.The private garden is a standout feature, providing an ideal outdoor space to unwind after a long day, host summer dinners, enjoy children’s playtime, or relax with friends and family during the weekends. It truly becomes an extension of the home, adding valuable living space and a sense of calm and privacy. Complementing this is allocated parking, a practical convenience that adds ease to everyday life and removes the stress of finding a space in a busy neighborhood.An important and highly desirable feature of this home is its EPC rating of B, which reflects excellent energy efficiency. This means the property benefits from lower energy bills, improved insulation and enhanced comfort throughout the year. It also demonstrates a reduced environmental impact, which is increasingly important to today’s buyers. In addition, energy-efficient homes are often more attractive in the property market, making this duplex not only cost-effective to run but also a smart long-term investment.Location is another key advantage. Life here is naturally balanced by access to green spaces, with Park Hill just a three-minute walk away, perfect for morning walks, quick play sessions, or a peaceful moment outdoors. Lloyd Park is around eight minutes on foot, offering larger open spaces, cafés, community activities, and opportunities for family recreation. Transport links are excellent, making commuting effortless: A bus stop is just a minute away, while South Croydon station is an eight-minute walk, providing fast connections to central London and beyond, all without the stress of a rushed lifestyle.This home has been a deeply loved family property, valued for its comfort, practicality, and strong sense of community. It is only being sold as the family seeks to move closer to relatives, making this a rare chance for new owners to secure a property that combines thoughtful design, energy efficiency and a fantastic location.With its peaceful layout, three generous bedrooms, private garden, allocated parking, access to nearby parks and outstanding transport links, this is more than just a house; it is a place to build a life. Opportunities of this nature are rare and highly sought-after and early viewing is strongly recommended to fully appreciate the quality, comfort and lifestyle this South Parkhill duplex has to offer.Kitchen And Reception10' 7"" x 32' 1"" (3.23m x 9.78m)Walk In Closet / Dressing Room7' 3"" x 7' 10"" (2.21m x 2.39m)Master Bedroom14' 1"" x 18' 10"" (4.29m x 5.74m)Ensuite7' 3"" x 7' 10"" (2.21m x 2.39m) 7' 3"" x 7' 10"" (2.21m x 2.39m)Bathroom6' 10"" x 9' 10"" (2.08m x 3.00m)Bedroom One8' 10"" x 9' 2"" (2.69m x 2.79m)Bedroom Two9' 7"" x 18' 10"" (2.92m x 5.74m)W/C3' 1"" x 4' 4"" (0.94m x 1.32m)Garden7' 6"" x 28' 11"" (2.29m x 8.81m)Parking13' 9"" x 18' 4"" (4.19m x 5.59m)Hide full description"
created_at,str,14438,0,0.0,2026-03-06 23:14:43.336
epc_rating,str,11406,3032,21.0,B
